budget,usbox,rrating
28000000,17326650,0
10000000,17380866,0
3500000,17400000,0
8000000,17500000,0
20000000,17500000,1
3500000,17504595,1
7500000,17544812,1
6000000,17583468,0
35000000,17600000,0
12000000,17600000,1
35000000,17600000,1
6000000,17606684,1
5000000,17700000,0
13000000,17700000,0
25000000,17791031,1
32000000,17800000,1
20000000,17807569,0
32000000,17848322,0
13000000,18000000,0
20000000,18098433,0
1000000,18100000,1
9000000,18225165,1
18000000,18300000,1
30000000,18300000,1
35000000,18317151,1
30000000,18324242,1
20000000,18354356,1
11000000,18400000,0
40000000,18400000,0
18500000,18451251,0
29000000,18475531,1
3000000,18492362,1
1000000,18500000,1
30000000,18522064,0
17000000,18597342,0
42000000,18600000,0
16500000,18663911,0
12000000,18761993,1
50000000,18782227,0
70000000,18800000,0
15000000,18844784,0
8000000,18848430,0
20000000,18882880,1
25000000,18900000,0
23000000,18900000,1
72000000,18947630,0
70000000,18990542,0
45000000,19000000,0
70000000,19076815,1
1500000,19097550,0
90000000,19100000,0
16000000,19100000,0
15000000,19161999,0
17000000,19162740,0
23000000,19200000,0
30000000,19300000,1
45000000,19398532,0
60000000,19400000,0
80000000,19422319,0
35000000,19478106,0
80000000,19480739,0
25000000,19500000,0
30000000,19528188,0
65000000,19551067,0
50000000,19600000,0
20000000,19661987,1
80000000,19676965,0
50000000,19694635,1
35000000,19700000,1
20000000,19762690,0
22000000,19800000,1
30000000,20040895,1
40000000,20100000,0
14000000,20200000,0
20000000,20211394,1
35000000,20300000,0
75000000,20300000,0
30000000,20422207,0
50000000,20534907,1
15000000,20700082,1
4300000,20779666,0
4000000,20800000,1
15000000,20804166,1
40000000,20919166,0
80000000,20950820,0
35000000,20982478,0
15000000,21000147,0
40000000,21002919,0
6000000,21005329,1
75000000,21009180,0
12500000,21078145,0
30000000,21100000,0
1500000,21158188,1
17000000,21170563,0
40000000,21176322,0
90000000,21300000,1
50000000,21300000,0
15000000,21400000,1
19000000,21400000,0
10000000,21400000,0
30000000,21400000,0
150000000,21400000,0
30000000,21500000,0
4600000,21500000,0
10000000,21600000,0
49900000,21600000,1
8500000,21600000,0
35000000,21800000,1
30000000,21800302,0
25000000,21835784,0
41000000,22108977,0
13000000,22235901,1
22000000,22400154,1
92000000,22406362,0
18000000,22455510,0
25000000,22466994,1
27000000,22495466,1
18500000,22498520,1
30000000,22500000,0
60000000,22672813,1
17000000,22734486,0
100000000,22800000,0
35000000,22913677,0
18000000,22965110,0
20000000,22991379,1
52000000,23010607,0
15000000,23089926,1
30000000,23100000,1
20000000,23200000,0
24000000,23200000,1
16000000,23213577,0
52000000,23300000,1
20000000,23400000,0
25000000,23500000,0
26000000,23514247,0
17500000,23519128,0
22000000,23530831,0
16000000,23618786,1
25000000,24000000,1
110000000,24004159,0
50000000,24006726,1
18000000,24007324,1
33000000,24100000,1
5000000,24148068,1
42000000,24149632,1
28000000,24300000,0
45000000,24343673,0
14000000,24400000,0
65000000,24409722,0
43000000,24430272,1
6000000,24500000,1
9000000,24538513,0
17000000,24700000,0
7500000,24793509,1
40000000,24800000,0
5000000,24800000,1
21000000,24850922,0
24000000,25000000,1
6000000,25001528,1
53000000,25031037,1
6000000,25059640,1
50000000,25100000,1
70000000,25100000,1
20000000,25100000,0
40000000,25126214,1
50000000,25195050,1
45000000,25200412,0
35000000,25266129,0
21000000,25296447,0
23000000,25400000,1
50000000,25450527,1
60000000,25473093,0
14000000,25482931,1
10000000,25486040,0
39000000,25514517,0
25100000,25534493,0
14000000,25571351,0
35000000,25600000,0
25000000,25662155,0
20000000,25700000,0
13000000,25700000,1
55000000,25857987,0
12000000,25885000,1
20000000,26000000,1
8000000,26000000,1
7000000,26024456,1
50000000,26199517,1
15000000,26200000,0
30000000,26214846,0
40000000,26400000,0
20000000,26410666,1
60000000,26483452,0
36000000,26500000,1
50000000,26599248,1
40000000,26600000,0
10500000,26600000,1
30000000,26700000,0
2500000,26782316,1
40000000,26814957,0
54000000,26850426,0
60000000,26873932,0
38000000,26900000,1
65000000,26900336,1
16000000,26902075,0
20000000,26910736,0
102000000,27100000,1
32000000,27100000,1
17000000,27163593,1
8000000,27362712,0
50000000,27669725,1
11000000,27693292,1
19000000,27800000,0
12000000,27838408,1
17000000,27900000,0
45000000,28013509,0
65000000,28045540,0
50000000,28104886,1
45000000,28142535,0
30000000,28165882,0
70000000,28212337,1
57000000,28328132,0
12500000,28436931,0
10000000,28444855,0
26000000,28544157,1
28000000,28563179,1
10000000,28563926,0
30000000,28600000,1
35000000,28687835,1
7000000,28750530,1
28000000,28800000,1
13000000,28972187,0
35000000,29000000,0
35000000,29000000,0
20000000,29062561,0
40000000,29077547,0
60000000,29100000,0
40000000,29100000,1
15000000,29331068,0
18000000,29511112,0
58000000,29580087,0
28000000,29700000,0
40000000,29800000,0
13000000,30000000,0
22000000,30059386,1
20000000,30060660,1
60000000,30063805,0
20000000,30101577,1
37000000,30105968,0
20000000,30113491,1
70000000,30157016,0
120000000,30200000,0
75000000,30207785,0
15000000,30259652,1
18000000,30272254,0
10000000,30306281,1
35000000,30307804,1
25000000,30500000,1
26000000,30700000,0
25000000,30900000,0
40000000,30981850,1
40000000,31000000,0
44000000,31100000,0
20000000,31100000,1
55000000,31100000,0
85000000,31111260,0
60000000,31200000,0
12000000,31203964,0
4000000,31273922,1
20000000,31315954,1
58000000,31373938,0
24000000,31452765,1
10000000,31487293,0
32000000,31493782,1
60000000,31500000,0
25000000,31526393,0
18000000,31567134,1
12000000,31597131,1
10000000,31600000,0
20000000,31600000,1
25000000,31664162,0
60000000,31720158,0
40000000,31726995,0
30000000,31749894,0
40000000,31800000,0
38000000,31811527,0
50000000,31874869,1
33000000,31924000,1
20000000,32000000,0
45000000,32003620,0
35000000,32064800,1
66000000,32100000,0
138000000,32116746,0
60000000,32122249,1
30000000,32200000,1
7500000,32391374,0
30000000,32400000,1
25000000,32428195,1
5000000,32500000,1
35000000,32519322,1
7000000,32539681,0
5000000,32543449,0
15000000,32647042,0
50000000,32700000,0
33000000,32752215,1
20000000,32774834,1
40000000,32862104,0
35000000,32868349,0
40000000,33000000,0
37000000,33000000,0
85000000,33080084,1
