id,year,steal,female,age,black,hisp,msa,work,student,dadgone
110,1998,0,1,14,0,0,1,0,1,0
110,1999,0,1,15,0,0,1,1,1,0
110,2000,1,1,16,0,0,1,1,1,0
110,2001,0,1,17,0,0,1,1,1,0
110,2002,0,1,18,0,0,1,1,0,0
110,2003,0,1,19,0,0,1,1,1,0
112,1998,0,1,14,0,0,1,0,1,0
112,1999,0,1,15,0,0,1,0,1,0
112,2000,0,1,16,0,0,1,1,1,0
112,2001,1,1,17,0,0,1,1,1,0
112,2002,0,1,18,0,0,1,1,1,0
112,2003,0,1,19,0,0,1,1,1,0
113,1998,0,0,14,0,0,1,0,1,1
113,1999,0,0,15,0,0,1,0,1,1
113,2000,1,0,16,0,0,1,1,1,1
113,2001,0,0,17,0,0,1,1,1,1
113,2002,0,0,18,0,0,1,1,1,0
113,2003,0,0,19,0,0,1,1,0,0
114,1998,1,1,16,0,0,1,1,1,0
114,1999,1,1,17,0,0,1,1,1,0
114,2000,0,1,18,0,0,1,1,0,0
114,2001,0,1,19,0,0,1,1,0,0
114,2002,0,1,20,0,0,1,1,0,0
114,2003,0,1,21,0,0,1,1,0,0
121,1998,0,0,17,0,0,1,1,1,0
121,1999,0,0,18,0,0,1,1,1,0
121,2000,0,0,19,0,0,1,1,1,0
121,2001,0,0,20,0,0,1,1,0,0
121,2002,0,0,21,0,0,1,1,0,0
121,2003,0,0,22,0,0,1,1,0,0
122,1998,0,0,14,0,0,1,0,1,0
122,1999,0,0,15,0,0,1,0,1,0
122,2000,1,0,16,0,0,1,1,1,0
122,2001,1,0,17,0,0,1,1,1,0
122,2002,1,0,18,0,0,1,1,0,0
122,2003,0,0,19,0,0,1,1,0,0
126,1998,1,0,17,0,0,1,1,1,0
126,1999,1,0,18,0,0,1,1,0,0
126,2000,1,0,19,0,0,1,1,0,0
126,2001,0,0,20,0,0,1,1,0,0
126,2002,0,0,21,0,0,1,1,0,0
126,2003,0,0,22,0,0,1,1,0,0
127,1998,0,1,16,0,0,1,1,1,0
127,1999,1,1,17,0,0,1,1,1,0
127,2000,0,1,18,0,0,1,1,1,0
127,2001,0,1,19,0,0,1,1,1,0
127,2002,0,1,20,0,0,1,1,1,0
127,2003,0,1,21,0,0,1,1,1,0
128,1998,0,1,16,0,0,1,1,1,0
128,1999,0,1,17,0,0,1,1,1,0
128,2000,0,1,18,0,0,1,1,1,0
128,2001,0,1,19,0,0,1,1,1,1
128,2002,0,1,20,0,0,1,1,1,1
128,2003,0,1,21,0,0,1,1,1,0
129,1998,1,1,18,0,0,1,0,1,0
129,1999,0,1,19,0,0,1,0,1,0
129,2000,0,1,20,0,0,1,1,1,0
129,2001,0,1,21,0,0,1,1,1,0
129,2002,0,1,22,0,0,1,1,1,0
129,2003,0,1,23,0,0,1,1,0,0
134,1998,0,0,14,0,0,1,1,1,0
134,1999,0,0,15,0,0,1,1,1,0
134,2000,0,0,16,0,0,1,1,1,0
134,2001,0,0,17,0,0,1,1,1,0
134,2002,0,0,18,0,0,1,1,1,0
134,2003,0,0,19,0,0,1,1,1,0
144,1998,1,0,16,1,0,1,0,1,1
144,1999,1,0,17,1,0,1,1,1,1
144,2000,1,0,18,1,0,1,1,1,1
144,2001,1,0,19,1,0,1,1,1,1
144,2002,1,0,20,1,0,1,1,1,1
144,2003,1,0,21,1,0,1,1,1,1
145,1998,0,0,14,1,0,1,0,1,1
145,1999,0,0,15,1,0,1,0,1,1
145,2000,0,0,16,1,0,1,1,1,1
145,2001,0,0,17,1,0,1,1,1,1
145,2002,0,0,18,1,0,1,1,1,1
145,2003,0,0,19,1,0,1,1,1,1
146,1998,0,0,14,1,0,1,1,1,0
146,1999,0,0,15,1,0,1,0,1,1
146,2000,0,0,16,1,0,1,0,1,0
146,2001,0,0,17,1,0,1,1,1,0
146,2002,0,0,18,1,0,1,1,0,0
146,2003,0,0,19,1,0,1,1,0,0
148,1998,0,1,16,1,0,1,1,1,1
148,1999,0,1,17,1,0,1,1,1,1
148,2000,0,1,18,1,0,1,1,0,1
148,2001,0,1,19,1,0,1,1,0,1
148,2002,0,1,20,1,0,1,1,0,1
148,2003,0,1,21,1,0,1,1,0,1
150,1998,1,0,14,1,0,1,0,1,1
150,1999,1,0,15,1,0,1,0,1,1
150,2000,0,0,16,1,0,1,1,1,1
150,2001,1,0,17,1,0,1,1,1,1
150,2002,0,0,18,1,0,1,1,0,1
150,2003,1,0,19,1,0,1,1,0,1
153,1998,0,1,18,1,0,1,1,1,1
153,1999,0,1,19,1,0,1,1,0,1
153,2000,0,1,20,1,0,1,1,0,1
153,2001,0,1,21,1,0,1,0,0,1
153,2002,0,1,22,1,0,1,1,0,1
153,2003,0,1,23,1,0,1,1,0,1
156,1998,0,0,16,0,0,1,0,1,0
156,1999,0,0,17,0,0,1,0,1,0
156,2000,0,0,18,0,0,1,1,1,0
156,2001,0,0,19,0,0,1,0,1,0
156,2002,0,0,20,0,0,1,0,1,0
156,2003,0,0,21,0,0,1,0,1,0
157,1998,0,1,16,0,1,1,1,1,0
157,1999,0,1,17,0,1,1,1,1,0
157,2000,0,1,18,0,1,1,0,1,0
157,2001,0,1,19,0,1,1,1,0,0
157,2002,0,1,20,0,1,1,1,1,0
157,2003,0,1,21,0,1,1,1,1,0
158,1998,0,0,14,0,1,1,0,1,0
158,1999,1,0,15,0,1,1,1,1,0
158,2000,1,0,16,0,1,1,0,1,0
158,2001,0,0,17,0,1,1,0,1,0
158,2002,0,0,18,0,1,1,0,1,0
158,2003,0,0,19,0,1,1,1,1,0
159,1998,0,1,18,0,1,1,1,1,0
159,1999,0,1,19,0,1,1,1,1,0
159,2000,0,1,20,0,1,1,1,0,0
159,2001,0,1,21,0,1,1,1,0,0
159,2002,0,1,22,0,1,1,1,0,0
159,2003,0,1,23,0,1,1,1,1,0
165,1998,0,0,18,0,0,1,0,1,0
165,1999,0,0,19,0,0,1,1,1,0
165,2000,0,0,20,0,0,1,0,1,0
165,2001,0,0,21,0,0,1,1,1,0
165,2002,0,0,22,0,0,1,1,0,0
165,2003,0,0,23,0,0,1,1,0,0
166,1998,1,1,16,0,0,1,0,1,0
166,1999,0,1,17,0,0,1,1,1,0
166,2000,0,1,18,0,0,1,1,0,0
166,2001,0,1,19,0,0,1,1,1,0
166,2002,0,1,20,0,0,1,1,1,0
166,2003,0,1,21,0,0,1,1,1,0
167,1998,0,0,14,0,1,1,0,1,0
167,1999,0,0,15,0,1,1,0,1,1
167,2000,0,0,16,0,1,1,0,1,1
167,2001,0,0,17,0,1,1,0,1,0
167,2002,0,0,18,0,1,1,0,1,0
167,2003,0,0,19,0,1,1,0,0,0
169,1998,1,1,15,0,0,1,0,1,0
169,1999,0,1,16,0,0,1,0,1,0
169,2000,0,1,17,0,0,1,1,1,0
169,2001,0,1,18,0,0,1,1,1,0
169,2002,0,1,19,0,0,1,1,0,0
169,2003,0,1,20,0,0,1,1,0,0
170,1998,0,1,14,0,0,1,0,1,0
170,1999,0,1,15,0,0,1,0,1,0
170,2000,0,1,16,0,0,1,1,1,0
170,2001,0,1,17,0,0,1,1,1,0
170,2002,0,1,18,0,0,1,1,0,0
170,2003,0,1,19,0,0,1,1,0,0
171,1998,0,1,14,0,1,1,1,1,0
171,1999,0,1,15,0,1,1,0,1,0
171,2000,0,1,16,0,1,1,1,1,0
171,2001,0,1,17,0,1,1,1,1,0
171,2002,0,1,18,0,1,1,1,1,0
171,2003,0,1,19,0,1,1,1,0,0
175,1998,0,1,17,0,0,1,1,1,0
175,1999,0,1,18,0,0,1,1,1,0
175,2000,0,1,19,0,0,1,1,1,0
175,2001,0,1,20,0,0,1,1,1,0
175,2002,0,1,21,0,0,1,1,1,0
175,2003,0,1,22,0,0,1,1,1,0
176,1998,0,0,16,0,0,1,1,1,0
176,1999,0,0,17,0,0,1,1,1,0
176,2000,0,0,18,0,0,1,1,1,0
176,2001,0,0,19,0,0,1,1,1,0
176,2002,0,0,20,0,0,1,1,1,0
176,2003,0,0,21,0,0,1,1,1,0
177,1998,0,1,18,0,0,1,1,1,0
177,1999,0,1,19,0,0,1,1,1,0
177,2000,0,1,20,0,0,1,1,1,0
177,2001,0,1,21,0,0,1,1,1,0
177,2002,0,1,22,0,0,1,1,1,0
177,2003,0,1,23,0,0,1,0,1,0
181,1998,1,1,16,0,0,1,1,1,0
181,1999,0,1,17,0,0,1,1,1,0
181,2000,1,1,18,0,0,1,1,1,0
181,2001,0,1,19,0,0,1,1,1,0
181,2002,0,1,20,0,0,1,1,1,0
181,2003,0,1,21,0,0,1,1,1,0
182,1998,0,1,14,0,0,1,0,1,0
182,1999,0,1,15,0,0,1,0,1,0
182,2000,0,1,16,0,0,1,1,1,0
182,2001,0,1,17,0,0,1,1,1,0
182,2002,0,1,18,0,0,1,1,1,0
182,2003,0,1,19,0,0,1,1,1,0
183,1998,0,1,18,0,0,1,1,1,0
183,1999,0,1,19,0,0,1,1,1,0
183,2000,0,1,20,0,0,1,1,1,0
183,2001,0,1,21,0,0,1,1,1,0
183,2002,0,1,22,0,0,1,1,1,0
183,2003,1,1,23,0,0,1,1,1,0
184,1998,0,0,14,0,0,1,0,1,0
184,1999,0,0,15,0,0,1,0,1,0
184,2000,0,0,16,0,0,1,0,1,0
184,2001,0,0,17,0,0,1,1,1,0
184,2002,0,0,18,0,0,1,1,0,0
184,2003,0,0,19,0,0,1,1,0,0
186,1998,0,1,15,0,0,1,0,1,0
186,1999,0,1,16,0,0,1,0,1,0
186,2000,0,1,17,0,0,1,1,1,0
186,2001,0,1,18,0,0,1,1,0,0
186,2002,0,1,19,0,0,1,1,0,0
186,2003,0,1,20,0,0,1,1,0,1
192,1998,0,1,16,0,1,1,1,1,1
192,1999,0,1,17,0,1,1,0,1,1
192,2000,0,1,18,0,1,1,0,0,1
192,2001,0,1,19,0,1,1,1,0,1
192,2002,0,1,20,0,1,1,1,0,1
192,2003,0,1,21,0,1,1,1,0,1
195,1998,1,0,15,1,0,1,0,1,1
195,1999,0,0,16,1,0,1,1,1,1
195,2000,1,0,17,1,0,1,0,0,1
195,2001,1,0,18,1,0,1,1,1,1
195,2002,0,0,19,1,0,1,1,0,1
195,2003,0,0,20,1,0,1,0,0,1
200,1998,0,0,18,0,0,1,1,1,1
200,1999,0,0,19,0,0,1,1,1,1
200,2000,0,0,20,0,0,1,1,1,1
200,2001,0,0,21,0,0,1,1,0,1
200,2002,0,0,22,0,0,1,1,0,1
